day,btc,eth
2018-07-21,7408.0,461.5
2018-07-22,7397.8,456.9
2018-07-23,7720.09,449.0
2018-07-24,8385.5,478.79
2018-07-25,8157.15,470.81
2018-07-26,7931.99,461.42
2018-07-27,8184.21,469.3
2018-07-28,8228.9,468.12
2018-07-29,8216.34,466.01
2018-07-30,8170.01,456.46
2018-07-31,7727.27,432.35
2018-08-01,7603.99,419.6
2018-08-02,7533.92,410.71
2018-08-03,7414.08,417.8
2018-08-04,7005.0,407.0
2018-08-05,7030.01,408.83
2018-08-06,6938.0,404.99
2018-08-07,6718.22,378.08
2018-08-08,6282.5,355.7
2018-08-09,6546.45,363.99
2018-08-10,6146.01,330.99
2018-08-11,6235.56,318.02
2018-08-12,6316.01,318.15
2018-08-13,6253.67,284.11
2018-08-14,6195.01,279.4
2018-08-15,6269.01,281.21
2018-08-16,6315.9,286.67
2018-08-17,6585.49,317.54
2018-08-18,6396.64,296.61
2018-08-19,6489.53,300.03
2018-08-20,6258.74,270.76
2018-08-21,6475.89,281.49
2018-08-22,6359.99,270.47
2018-08-23,6526.36,275.87
2018-08-24,6690.88,281.35
2018-08-25,6737.52,277.97
2018-08-26,6709.98,274.25
2018-08-27,6911.9,287.99
2018-08-28,7071.01,295.39
2018-08-29,7030.9,289.0
2018-08-30,6983.0,284.52
2018-08-31,7015.01,281.94
2018-09-01,7191.08,294.64
2018-09-02,7295.0,295.06
2018-09-03,7256.98,288.6
2018-09-04,7360.0,285.43
2018-09-05,6687.96,227.56
2018-09-06,6495.0,229.03
2018-09-07,6395.01,215.21
2018-09-08,6188.0,197.0
2018-09-09,6235.01,195.91
2018-09-10,6300.0,196.94
2018-09-11,6282.53,185.15
2018-09-12,6326.0,182.79
2018-09-13,6485.99,211.39
2018-09-14,6478.04,210.0
2018-09-15,6518.68,221.69
2018-09-16,6498.0,220.19
2018-09-17,6250.7,195.97
2018-09-18,6335.7,208.5
2018-09-19,6386.94,209.81
2018-09-20,6493.11,224.41
2018-09-21,6750.0,247.76
2018-09-22,6707.33,240.71
2018-09-23,6696.99,244.35
2018-09-24,6582.09,228.01
2018-09-25,6436.89,219.19
2018-09-26,6455.66,214.15
2018-09-27,6680.01,229.0
2018-09-28,6620.01,220.67
2018-09-29,6581.0,231.01
2018-09-30,6605.0,232.27
2018-10-01,6572.83,230.4
2018-10-02,6498.46,224.85
2018-10-03,6466.03,219.01
2018-10-04,6547.45,221.0
2018-10-05,6593.94,226.89
2018-10-06,6552.43,223.85
2018-10-07,6570.0,224.82
2018-10-08,6608.07,227.68
2018-10-09,6589.48,226.15
2018-10-10,6524.56,223.61
2018-10-11,6154.69,188.32
2018-10-12,6188.01,194.1
2018-10-13,6196.0,196.72
2018-10-14,6183.49,191.87
2018-10-15,6440.42,204.53
2018-10-16,6457.11,205.43
2018-10-17,6443.7,203.21
2018-10-18,6394.96,199.2
2018-10-19,6382.99,200.0
2018-10-20,6414.0,202.69
2018-10-21,6415.88,202.12
2018-10-22,6407.65,201.25
